Taxa,rpl16,trnL-trnF,rps16,rbcL,ETS,ITS
Erythranthe tenella,,FJ172691.1,FJ172705.1,FJ172733.1,AY575325.1,FJ172742.1
Erythranthe tilingii,,AF478994.1,,,AF478962.1,AY575442.1
Erythranthe verbenacea,,,,,AY575307.1,AY575418.1
Erythranthe washingtoniensis,DQ090901.1,AY575523.1,,,AY575316.1,AY575427.1
Glossostigma cleistanthum,,AY943145.1,,,GU944689.1,DQ371414.1
Glossostigma diandrum,,AY943147.1,,,AY943094.1,AY943121.1
Glossostigma drummondii,,,,,AF478970.1,AF478937.1
Glossostigma elatinoides,,AY943144.1,,JQ933345.1,AY943091.1,DQ371416.1
Glossostigma trichodes,,AY943149.1,,,AY943097.1,
Hemichaena fruticosa,,AF478986.1,AJ609179.1,,AF478954.1,AY575399.1
Hemichaena rugosa,,AF478987.1,,,AF478955.1,AF478922.1
Leucocarpus perfoliatus,,AF478998.1,JN686543.1,,AF478966.1,AY575453.1
Mimetanthe pilosa,,,,,AY575267.1,
Mimulus alatus,,,,KP643815.1,,KT695264.1
Mimulus gracilis,,AF478999.1,,,AY575345.1,AF478934.1
Mimulus ringens,,AF479000.1,,KM212146.1,AY575344.1,AF478935.1
Mimulus sookensis,JQ583983.1,,,,,
Peplidium aithocheilum,,AF479002.1,,,AF478971.1,AF478938.1
Peplidium foecundum,,AY943158.1,,,AY943105.1,AY943132.1
Peplidium maritimum,,AY943164.1,,,AY943110.1,AY943139.1
Peplidium meulleri,,AY943159.1,,,AY943107.1,AY943133.1
Phryma leptostachya,,DQ532469.1,DQ532464.1,U28881.1,AF478957.1,DQ533819.1
Thyridia repens,,,,KT626791.1,AY943089.1,AY943117.1
Uvedalia linearis,,AY943151.1,,,AY575346.1,AY943126.1
